順位,カテゴリ,項目,スコア
1,仕事,Ｑ１４．会社Aには、あなたが考えるキャリアのロールモデルがいる　※１,2.16
2,職場,Ｑ４０．職場では、言い出した人が損をするような傾向はない,2.53
3,職場,Ｑ２６．職場の組織目標達成に、みんなが関心を持っている　※２,2.63
3,人事制度,Ｑ６０．会社Aでは、優秀な人材にふさわしい地位や役職が与えられている　※２,2.63
5,職場,Ｑ３６．職場メンバーは、互いの成長のために刺激しあっている,2.68
6,仕事,Ｑ７．あなたは、仕事を通じて、会社Aの成長・発展への貢献を実感できる　※２,2.79
6,職場,Ｑ２５．職場には、会社Aの中長期的な方向性とそのための基本的な方針がきちんと伝えられ、共有されている　※２,2.79
6,職場,Ｑ２７．職場では、一体感が感じられる,2.79
9,仕事,Ｑ１３．あなたは、会社Aにおける自分自身のキャリア目標（将来のありたい姿）を描いている　※１,2.84
9,仕事,Ｑ１８．今の仕事にやりがいを感じている　※２,2.84
9,職場,Ｑ３５．職場では、職場の歴史・経緯、仕事に関する技術・知識が蓄積、共有・活用されている,2.84
9,人事制度,Ｑ６１．会社Aでは、人事異動において本人の育成が考慮されている　※１,2.84
9,所管官庁等,Ｑ６７．会社Aと所管官庁との間で、業務上の課題や改善点について意見交換ができる環境が整っている　※２,2.84
14,仕事,Ｑ８．あなたの仕事は、お客さま（会社A内顧客を含む）のためになっていると実感する　※２,2.89
14,職場,Ｑ４１．職場では、お客さま（会社A内顧客を含む）の声が業務の改善に反映されている,2.89
14,機構,Ｑ７０．会社Aでは、第一線（現場）の情報が経営層に伝わっている　※２,2.89
17,職場,Ｑ３２．職場では、役職・年齢・性別などを気にせず、仕事上言いたいことを何でも言える,2.95
17,コンプライアンス,Ｑ７８．職場では、この１年間職場内のハラスメント（セクシュアルハラスメント・パワーハラスメント・マタニティハラスメント等）による不快な行為はない,2.95
19,職場,Ｑ３９．職場では、仕事が終わった後に必ず振り返りを行って、次の仕事に活かしている,3.0
19,上司,Ｑ５２．直属の管理職は、部下の今後のキャリアに関心を持ちアドバイス等をくれる　※１,3.0
21,上司,Ｑ４９．直属の管理職は、部下の仕事の状況（内容や負荷）をよく知っている　※２,3.05
21,機構,Ｑ７３．会社Aは時流や環境の変化を踏まえ、中小企業のニーズをくみ取って質の高い仕事ができている,3.05
23,職場,Ｑ２８．職場では、誰かが仕事で困っていれば見逃すことなく、サポートしたり声をかけたりしている,3.11
23,所管官庁等,Ｑ６６．会社Aと所管官庁は、必要な情報交換が行われ、共有されている　※２,3.11
25,仕事,Ｑ４．あなたは、自分の目標・役割に納得している　※２,3.16
25,人事制度,Ｑ６３．会社Aの研修はあなたの能力向上に役立っている　※１,3.16
