順位,カテゴリ,項目,スコア
1,人事制度,Ｑ６２．会社Aは、出産・育児、介護等をする上で働きやすい制度や環境が整っている　※２,4.0
1,機構,Ｑ７４．あなたは会社AにおいてDX推進や業務効率化の実現に向けて新しい取組みがはじまったと感じている,4.0
3,仕事,Ｑ１．あなたは、基本理念・行動指針を理解している,3.95
3,上司,Ｑ５０．直属の管理職は、すべての部下に対して公平な態度で接している　※２,3.95
5,機構,Ｑ７５．会社Aは、事業活動を通じて社会に貢献している,3.89
6,仕事,Ｑ２．あなたは、基本理念・行動指針に共感している,3.84
7,人事制度,Ｑ５８．あなたは、評価基準や評価のプロセス・手順を理解している　※２,3.79
8,業務負荷・ＷＬＢ,Ｑ１９．あなたの仕事量は、自分の処理能力の範囲内である,3.74
8,上司,Ｑ５４．直属の管理職には、悪い情報でも相談・報告しやすい　※２,3.74
8,所管官庁等,Ｑ６８．あなたは、本部が都心にあることが会社Aの業務に良い影響を与えていると思う　※１,3.74
11,仕事,Ｑ３．あなたは、基本理念・行動指針を意識して行動している　※２,3.68
11,職場,Ｑ４４．あなたは、職場メンバーを信頼している,3.68
13,仕事,Ｑ１０．あなたは、仕事を進める上で必要な権限を与えられている　※２,3.63
13,仕事,Ｑ１２．あなたは、仕事を進める上で、新しいテーマや内容にチャレンジしている　※２,3.63
13,業務負荷・ＷＬＢ,Ｑ２１．職場では、所定の勤務時間を十分意識して業務が進められている,3.63
13,上司,Ｑ４８．直属の管理職は、言行一致を心がけ、責任感のある言動をとっている　※２,3.63
13,機構,Ｑ７２．あなたは時流や環境変化、また、それに伴う中小企業の課題や支援ニーズの変化に応じた会社Aの変革を実感している,3.63
18,職場,Ｑ３７．職場では、仕事上の問題点やアイデアを出す機会が多い,3.58
18,機構,Ｑ７６．会社Aは、機構で働く者を大切にしようとする風土がある,3.58
20,職場,Ｑ３１．職場では、感謝の気持ちを伝えあっている,3.53
20,職場,Ｑ３３．職場では、いろいろな考え方や多様な価値観を尊重する雰囲気がある,3.53
20,上司,Ｑ５７．あなたは、直属の管理職を信頼している　※２,3.53
20,人事制度,Ｑ５９．あなたは、自分に対する評価には納得している　※２,3.53
24,業務負荷・ＷＬＢ,Ｑ２０．あなたにとって仕事による精神的な疲れは許容できる範囲である,3.47
24,職場,Ｑ３４．職場では、必要な情報交換が行われ、共有されている,3.47
24,職場,Ｑ４３．職場では、他の職場との連携が活発に行われている　※２,3.47
27,仕事,Ｑ６．あなたの専門性や職務遂行能力は、今の仕事を通じて高まっている　※１,3.42
27,仕事,Ｑ９．あなたが仕事で良い結果を出した時は、上司・同僚から褒められる　※２,3.42
27,業務負荷・ＷＬＢ,Ｑ２２．あなたは、仕事と生活のバランスが取れていると思う,3.42
27,上司,Ｑ４６．直属の管理職は、的確な判断や意思決定を適宜適切に行っている　※２,3.42
27,エンゲージメント,Ｑ８９．あなたは、会社Aへの愛着がある,3.42
32,仕事,Ｑ５．あなたの目標・役割は、挑戦しがいがある　※２,3.37
32,仕事,Ｑ１１．仕事を進める上で、必要以上に報告を求められることはない　※２,3.37
32,上司,Ｑ４７．直属の管理職は、率先して新しいことや困難な課題に挑戦している　※２,3.37
32,上司,Ｑ５１．直属の管理職は、部下の能力向上のために積極的な指導・助言をしている　※１,3.37
32,上司,Ｑ５３．直属の管理職は、部下の仕事に関する意見をよく聞いてくれる　※２,3.37
37,職場,Ｑ３０．職場では、メンバー同士が気さくに声をかけたり談笑したり、明るい雰囲気がある,3.32
